date,musica,artista,plataforma,url,view_count,like_count,comment_count,video_id,youtube_title,channel_title,fetched_at
2026-02-06,Flow Natalino 2,Lil Chainz,YouTube,https://www.youtube.com/watch?v=-10tNo8JHrQ,1432104,40577,2331,-10tNo8JHrQ,"Lil Chainz, Akashi Cruz, Fuub, $nif, LinoMC, MHRAP & NOG - Flow Natalino 2 🎄",Lil Chainz,2026-02-06T02:59:51.174224+00:00
2026-02-06,Intacto,Lil Chainz,YouTube,https://www.youtube.com/watch?v=0Hz3ZYNIfg8,1025035,30103,479,0Hz3ZYNIfg8,"Lil Chainz, Akashi Cruz & LYLO - Intacto",Lil Chainz,2026-02-06T02:59:57.877935+00:00
2026-02-06,Por todas as vezes,Lil Chainz,YouTube,https://www.youtube.com/watch?v=0pyqM9VM504,256050,8203,751,0pyqM9VM504,Lil Chainz - Por todas as vezes,Lil Chainz,2026-02-06T02:59:52.113748+00:00
2026-02-06,Não vou falar de amor,Lil Chainz,YouTube,https://www.youtube.com/watch?v=0sfMUKzt9Mo,9463117,213927,5189,0sfMUKzt9Mo,Lil Chainz x Hiosaki - Não vou falar de amor (Prod. Pdr0sa),Lil Chainz,2026-02-06T03:00:03.723468+00:00
2026-02-06,Lembra daquele dia?,Lil Chainz,YouTube Music,https://www.youtube.com/watch?v=1zJAKsPXMAM,23252,339,7,1zJAKsPXMAM,Lembra daquele dia?,SNIF - Topic,2026-02-06T03:00:07.027557+00:00
2026-02-06,GRAV FM,Lil Chainz,YouTube,https://www.youtube.com/watch?v=2mtDO_XS9G4,238590,8796,369,2mtDO_XS9G4,"Lil Chainz, Akashi Cruz, SNIF & Fuub - GRAV FM (Visualizer)",Lil Chainz,2026-02-06T02:59:51.018730+00:00
2026-02-06,Cada um pro seu lado,Lil Chainz,YouTube,https://www.youtube.com/watch?v=2zQOnmXnxVo,1545508,70869,1217,2zQOnmXnxVo,Lil Chainz - Cada um pro seu lado,Lil Chainz,2026-02-06T03:00:03.880627+00:00
2026-02-06,Apaixonadin,Lil Chainz,YouTube,https://www.youtube.com/watch?v=3GSuJJr5OSQ,530532,23808,930,3GSuJJr5OSQ,Lil Chainz - Apaixonadin,Lil Chainz,2026-02-06T03:00:01.646768+00:00
2026-02-06,Capital Girando 2,Lil Chainz,YouTube,https://www.youtube.com/watch?v=3mpJ6EUbsFk,180029,7286,205,3mpJ6EUbsFk,Lil Chainz & Mikezin - Capital Girando 2 💰 (Prod. TcheloBeats),Lil Chainz,2026-02-06T02:59:54.444696+00:00
2026-02-06,Diário das minhas lamentações,Lil Chainz,YouTube,https://www.youtube.com/watch?v=4MuwKmcyA9g,206525,14665,359,4MuwKmcyA9g,Lil Chainz x VMZ x Zant - Diário das minhas lamentações (Prod. Masuk),Lil Chainz,2026-02-06T03:00:02.004067+00:00
