video_id,title,published_at,channel_title
kTGOMz-Fg0M,"Lil Chainz, Akashi Cruz, SNIF, Fuub, LinoMC & ZackZin - Flow Natalino 3 🎅",2025-12-17T15:00:06Z,Lil Chainz
KM_pvQX3BvU,Lil Chainz - PROPÓSITO (Full EP),2025-10-20T16:01:50Z,Lil Chainz
bTPS2htSO00,Lil Chainz & ZackZin - Red flags de uma garota,2025-09-25T15:01:13Z,Lil Chainz
bb8k3H4VSi0,Lil Chainz & ZackZin - Odeio finais,2025-09-25T15:01:12Z,Lil Chainz
YCh-UB9B9XU,Lil Chainz & ZackZin - Dores de um astro,2025-09-25T15:01:06Z,Lil Chainz
OSlVb4LrS0w,Lil Chainz & ZakcZin - Não temas,2025-09-25T15:00:45Z,Lil Chainz
LkzEFC87ZDE,Lil Chainz - Sintomas de Um Coração Quebrado (FULL EP),2025-06-27T15:00:40Z,Lil Chainz
lEVLUDOQ6ok,Lil Chainz - Final Cruel,2025-06-12T17:00:57Z,Lil Chainz
KWSHt-O-F6E,"Lil Chainz, Akashi Cruz, Fuub & SNIF - Play Station",2025-05-29T21:10:01Z,Lil Chainz
Csh4Yf_gD4M,Lil Chainz - Saudade,2025-05-22T22:05:00Z,Lil Chainz
jHC8EbqAqvo,Lil Chainz & Carla Sol - Inocente,2025-05-15T15:01:19Z,Lil Chainz
KMd-lWH2e48,Lil Chainz - Amar é deixar ir,2025-05-02T15:00:34Z,Lil Chainz
OS9a7DOYIHs,Lil Chainz & Akashi Cruz - Apunhalado,2025-04-16T15:00:42Z,Lil Chainz
zlfuUg9fzjo,Lil Chainz - Momento,2025-02-25T15:01:17Z,Lil Chainz
qT6oAQljJzo,Lil Chainz - Subestimado | EP Esperança do Meu Bairro,2024-12-30T21:25:06Z,Lil Chainz
XfrxqyOBtTM,Lil Chainz - Pacto de Rua (ft. REAL PS) | EP Esperança do Meu Bairro,2024-12-30T21:20:06Z,Lil Chainz
PIYKnfisnAY,Lil Chainz - Ligação (ft. Oushan) | EP Esperança do Meu Bairro,2024-12-30T21:15:06Z,Lil Chainz
oopxlcYC8aA,Lil Chainz - Dia Z (ft. Akashi Cruz & Oushan) | EP Esperança do Meu Bairro,2024-12-30T21:10:06Z,Lil Chainz
KwAhqicgAe4,Lil Chainz - Quadrada (ft. Akashi Cruz) | EP Esperança do Meu Bairro,2024-12-30T21:05:06Z,Lil Chainz
MkkF44budfc,Lil Chainz - Esperança do meu Bairro | EP Esperança do Meu Bairro,2024-12-30T21:00:06Z,Lil Chainz
2mtDO_XS9G4,"Lil Chainz, Akashi Cruz, SNIF & Fuub - GRAV FM (Visualizer)",2024-12-26T15:00:06Z,Lil Chainz
-10tNo8JHrQ,"Lil Chainz, Akashi Cruz, Fuub, $nif, LinoMC, MHRAP & NOG - Flow Natalino 2 🎄",2024-12-19T15:00:06Z,Lil Chainz
SntbHzpIwoE,"Lil Chainz, Akashi Cruz & SNIF - Ninho de Cobra",2024-12-17T15:00:28Z,Lil Chainz
J2XjuSUsIoQ,"Lil Chainz, Akashi Cruz, Fuub & SNIF - Daqui de Cima",2024-12-12T15:00:08Z,Lil Chainz
tziOdVip5Ak,Lil Chainz - Quando a sdd apertar,2024-12-11T15:30:29Z,Lil Chainz
5ibm_6EEdXg,Lil Chainz - Preciso melhorar tanto em mim,2024-12-05T15:00:07Z,Lil Chainz
0pyqM9VM504,Lil Chainz - Por todas as vezes,2024-11-12T21:00:00Z,Lil Chainz
IzXi9Qj7vvc,Lil Chainz & Fontes - Jogo de Azar,2024-10-11T15:00:06Z,Lil Chainz
x_9nu2FLpNw,"Lil Chainz, Akashi Cruz & Ark King - MULTIPLICA [VIDEOCLIPE]",2024-06-18T15:00:07Z,Lil Chainz
g2dlycgAbec,Lil Chainz - QUEM FAZ A ONDA?,2024-05-30T21:52:07Z,Lil Chainz
I4jx6EAj2Ig,"Lil Chainz, Akashi Cruz & Ark King - MULTIPLICA",2024-05-30T21:45:07Z,Lil Chainz
I5yyRqfq1xI,Lil Chainz - HARDMODE!,2024-05-30T21:38:07Z,Lil Chainz
_8Ov5Dtsu9U,Lil Chainz & Ugovhb - CAÇA ÀS BRUXAS,2024-05-30T21:30:07Z,Lil Chainz
9cBGa3VxVW4,Lil Chainz - TEMPORADA DE CAÇA,2024-05-30T21:15:07Z,Lil Chainz
PtiU1UQtT3w,Lil Chainz - BEM-VINDO AO HARDMODE (INTRO),2024-05-30T21:00:06Z,Lil Chainz
GKiapoYZtxs,Lil Chainz & Ugovhb - CAÇA ÀS BRUXAS (Videoclipe),2024-05-23T21:00:08Z,Lil Chainz
S8fJk9pne8Y,Lil Chainz x VMZ x MHRAP - Drink Azul 2 🏝 (Prod. TcheloBeats),2024-03-28T15:00:06Z,Lil Chainz
V32yj6mmV24,"Lil Chainz, Lil Fuub, MHRAP, Aklipe44 & LinoMC - Flow Natalino 🎄",2023-12-20T15:00:10Z,Lil Chainz
QOWGDfFhukc,Lil Chainz - CORAÇÃO VAZIO 💔,2023-11-29T21:00:14Z,Lil Chainz
3mpJ6EUbsFk,Lil Chainz & Mikezin - Capital Girando 2 💰 (Prod. TcheloBeats),2023-11-14T21:00:09Z,Lil Chainz
GPKcW_QJ5BA,"Lil Chainz, Akashi Cruz & MHRAP - FAÇO ACONTECER",2023-08-31T23:15:08Z,Lil Chainz
UIVEv-UGdWs,"Lil Chainz, Akashi Cruz & VMZ - LSD",2023-08-31T23:00:11Z,Lil Chainz
wRd2QF465qY,"Lil Chainz, Akashi Cruz & FUUB - REBOLA BB",2023-08-31T22:45:10Z,Lil Chainz
